text,Emotion
"Жалгыздык аны кыйнап, терезеден сыртты карап, көзүнө жаш алды.",грусть
"Телефондо үнүн угалбай, ал өзүн жалгыз сезди.",грусть
"Алыска кеткен жакыны тууралуу ойлонуп, ал унчукпай отурду.",грусть
"Досунун кетип калганын угуп, ал көпкө чейин ыйлады.",грусть
"Эски сүрөттөрдү карап, ал бала чагындагы досторун эстеп, көңүлү чөгүп кетти.",грусть
"Адилетсиз баа коюлганда, ал кыжыры келип, арыз жазды.",гнев
"Интернет үзүлө бергенде, ал модемди уруп жиберди.",гнев
"Келишимди бузган өнөктөшүнө нааразы болуп, жолугушуу чакырды.",гнев
Көчөдө кезектин бузулушу анын ачуусун келтирди.,гнев
Документтерин жоготкон кызматкерине ал катуу кыйкырып жиберди.,гнев
"Унаасын сүзгөн айдоочуга ал кайнап, орой сөз айтып салды.",гнев
"Аны алдаган адамды көрүп, жүрөгү ачууланып чыкты.",гнев
"Учуп бараткан учак калтыраганда, жүргүнчүлөр үрөйү учту.",страх
Караңгыда жалгыз калган кыз үндөн коркуп эшикти жаап алды.,страх
Токойдо адашып кеткен бала ар бир үндөн коркуп жатты.,страх
"Ашканада жарык өчкөндө, ал коркуп бурчта отуруп калды.",страх
"Дарыгерден коркунучтуу диагноз укканда, ал не кыларын билбей калды.",страх
"Түн ичинде терезеден үн чыкса, жүрөгү токтоп кала жаздады.",страх
"Апасынын жанында жатып, ал кооптонуу дегенди унутту.",спокойствие
"Эртең менен чай ичип жаратылышка суктанганда, жан дүйнөсү тынчып кетти.",спокойствие
"Китеп окуп, жымжырттыкта убакыт өткөрүп, ал эс алды.",спокойствие
Медитация учурунда ал толук тынчтыкта калды.,спокойствие
"Жамгырдын тамчыларын угуп отурганда, жан дүйнөсү тынчып кетти.",спокойствие
"Ашканада чай кайнатып жатып, ал ички тынчтыкты сезди.",спокойствие
"Көл жээгинде отуруп, шамалдын жытын сезип, ал тынчтык тапты.",спокойствие
"Көчөдөгү тартипсиздикти көрүп, ичи чыкпай турду.",отвращение
"Адамдардын эки жүздүүлүгүн көрүп, ал жийиркенди.",отвращение
"Эскирген тамактын жыты келип, ал көңүлү айланып чыкты.",отвращение
"Таштандыларды көрүп, ал жүзүн буруп кетти.",отвращение
"Жалган сүйлөгөн досун көрүп, ал өзүн начар сезди.",отвращение
"Каралбай калган дааратканага кирип, ал дароо чыгып кетти.",отвращение
